"","taxon","gene","effect.size","p.value","std.err","df","q.value"
"1","Acutalibacteraceae","UniRef50_R6E9N4",0.31030712879131,1.93489446687067e-08,NA,NA,0.000150283253241845
"2","Acutalibacteraceae","UniRef50_A0A1W9THU1",0.276636999133493,3.96103864619413e-06,NA,NA,0.0153826935824949
"3","Acutalibacteraceae","UniRef50_A0A7X7MYT0",0.273467615591036,1.8180471534901e-05,NA,NA,0.0470692408038587
"4","Acutalibacteraceae","UniRef50_A0A174ZRU8",0.324149082434019,4.77696155760654e-05,NA,NA,0.0794414644624931
"5","Acutalibacteraceae","UniRef50_A0A358MA79",0.286044688897939,6.13684545867077e-05,NA,NA,0.0794414644624931
"6","Acutalibacteraceae","UniRef50_A0A3D3Y0K4",0.283627549060568,6.11309720102149e-05,NA,NA,0.0794414644624931
"7","Acutalibacteraceae","UniRef50_R6W4J1",0.287686510999696,0.000123717518339506,NA,NA,0.0833632817550243
"8","Acutalibacteraceae","UniRef50_UPI001D02EAC6",0.294976492165088,0.000128796109316376,NA,NA,0.0833632817550243
"9","Acutalibacteraceae","UniRef50_R9JWT7",0.294976492165088,0.000128796109316376,NA,NA,0.0833632817550243
"10","Acutalibacteraceae","UniRef50_A0A7X6ZWV5",0.288594652344168,8.87019845083881e-05,NA,NA,0.0833632817550243
"11","Acutalibacteraceae","UniRef50_A0A174P376",0.294976492165088,0.000128796109316376,NA,NA,0.0833632817550243
"12","Acutalibacteraceae","UniRef50_A0A173T137",0.294976492165088,0.000128796109316376,NA,NA,0.0833632817550243
"13","Acutalibacteraceae","UniRef50_UPI00132F8C86",0.282735946645564,0.000227468714773416,NA,NA,0.0986380702077142
"14","Acutalibacteraceae","UniRef50_R6UFS5",0.348149862758791,0.000228593441964575,NA,NA,0.0986380702077142
"15","Acutalibacteraceae","UniRef50_A0A3D2G2E2",0.261923142646783,0.000165101709092008,NA,NA,0.0986380702077142
"16","Acutalibacteraceae","UniRef50_A0A6S6R6G3",0.297220479570363,0.000197000751702037,NA,NA,0.0986380702077142
"17","Acutalibacteraceae","UniRef50_UPI001E430828",0.346962447694276,0.000211779565874259,NA,NA,0.0986380702077142
"18","Acutalibacteraceae","UniRef50_A0A351H4L9",0.310608707558536,0.000193397820557273,NA,NA,0.0986380702077142
"19","Acutalibacteraceae","UniRef50_A0A3B8V850",0.296955306212243,0.000280503709829905,NA,NA,0.108933615712443
"20","Acutalibacteraceae","UniRef50_A0A3D4KXJ0",0.275039133212631,0.000273701712571794,NA,NA,0.108933615712443
"21","Acutalibacteraceae","UniRef50_A0A3D4KXK5",0.251196270739701,0.000371535010640356,NA,NA,0.125465757723637
"22","Acutalibacteraceae","UniRef50_A0A354MWU3",0.328413512923559,0.000358149582083245,NA,NA,0.125465757723637
"23","Acutalibacteraceae","UniRef50_A0A9D9LU14",0.300220927338092,0.000370584114867567,NA,NA,0.125465757723637
"24","Acutalibacteraceae","UniRef50_UPI001BCEF06F",0.229219968526711,0.000457450435672913,NA,NA,0.148042397244646
"25","Acutalibacteraceae","UniRef50_A0A965TCY6",-0.281504761788127,0.000546957147887772,NA,NA,0.167345206278936
"26","Acutalibacteraceae","UniRef50_A0A930XK44",0.363301201936818,0.000560187377784516,NA,NA,0.167345206278936
"27","Acutalibacteraceae","UniRef50_A0A3D2XAZ5",0.278435081279897,0.000636882433433517,NA,NA,0.183209846684375
"28","Acutalibacteraceae","UniRef50_A0A354USC1",0.263024376640852,0.000695196543574639,NA,NA,0.186192812204973
"29","Acutalibacteraceae","UniRef50_A0A354MAS8",0.334496816759064,0.000681799024493834,NA,NA,0.186192812204973
"30","Acutalibacteraceae","UniRef50_C4Z5P8",0.204398806818256,0.000784087225190966,NA,NA,0.203000182601941
"31","Acutalibacteraceae","UniRef50_UPI001322814F",0.262792314606568,0.00097466929811052,NA,NA,0.229401710255285
"32","Acutalibacteraceae","UniRef50_R6MV71",0.27832035974054,0.000937963637182682,NA,NA,0.229401710255285
"33","Acutalibacteraceae","UniRef50_A0A1C6I8U4",0.268892155570535,0.000966914541659536,NA,NA,0.229401710255285
"34","Acutalibacteraceae","UniRef50_R5EG37",0.309839822083896,0.0011725943505807,NA,NA,0.237544733156667
"35","Acutalibacteraceae","UniRef50_R6DS18",-0.192455828728796,0.00119277000040041,NA,NA,0.237544733156667
"36","Acutalibacteraceae","UniRef50_K1RG71",0.229884307524145,0.00119182709319743,NA,NA,0.237544733156667
"37","Acutalibacteraceae","UniRef50_UPI0023F05C01",0.169364831872584,0.00107324793923391,NA,NA,0.237544733156667
"38","Acutalibacteraceae","UniRef50_A0A351H7V3",0.313054504401218,0.00108712919334586,NA,NA,0.237544733156667
"39","Acutalibacteraceae","UniRef50_A0A351H5W9",0.307831190092117,0.00114480395200967,NA,NA,0.237544733156667
"40","Acutalibacteraceae","UniRef50_A0A3B9Z9R3",0.321963535826377,0.00133916874340856,NA,NA,0.248090525761006
"41","Acutalibacteraceae","UniRef50_A0A7C6ZXF0",0.171225069923621,0.00134154784111784,NA,NA,0.248090525761006
"42","Acutalibacteraceae","GUT_GENOME236690_00548",0.315034572353177,0.00129550952850255,NA,NA,0.248090525761006
"43","Acutalibacteraceae","UniRef50_A0A2V2GGQ4",0.344684173980214,0.00139752638008916,NA,NA,0.252432264980292
"44","Acutalibacteraceae","UniRef50_A0A928F3C4",0.293917242997548,0.00162087017548518,NA,NA,0.263703011145483
"45","Acutalibacteraceae","UniRef50_A0A7X7RR57",0.25979353133477,0.00151847115455839,NA,NA,0.263703011145483
"46","Acutalibacteraceae","UniRef50_A0A9D1H7N9",0.183720706849364,0.0015342250717556,NA,NA,0.263703011145483
"47","Acutalibacteraceae","UniRef50_V9G692",0.277772408175138,0.00157170368896953,NA,NA,0.263703011145483
"48","Acutalibacteraceae","UniRef50_A0A367GGY7",0.194227786348022,0.00162968257177587,NA,NA,0.263703011145483
"49","Acutalibacteraceae","UniRef50_A0A928KMW4",0.278949466499491,0.00170287283917858,NA,NA,0.268996666187803
"50","Acutalibacteraceae","UniRef50_A0A7C6XWQ3",0.324119415096579,0.00173166387400414,NA,NA,0.268996666187803
"51","Acutalibacteraceae","UniRef50_A0A415WTS7",0.151412853766056,0.00192714099798486,NA,NA,0.287848156372084
"52","Acutalibacteraceae","UniRef50_J9FR94",0.208572892207015,0.00190524365998956,NA,NA,0.287848156372084
"53","Acutalibacteraceae","UniRef50_A0A354M7H0",0.260691291006878,0.00215583221577798,NA,NA,0.293760505613115
"54","Acutalibacteraceae","UniRef50_K1SVD4",0.273445157872641,0.00210981990224024,NA,NA,0.293760505613115
"55","Acutalibacteraceae","UniRef50_A0A3D2AAM4",0.279386653704497,0.00203654068247072,NA,NA,0.293760505613115
"56","Acutalibacteraceae","UniRef50_A0A3D2AAR0",-0.290878166266711,0.00214752882252123,NA,NA,0.293760505613115
"57","Acutalibacteraceae","UniRef50_A0A3D1I006",0.267680437639631,0.00207905248483065,NA,NA,0.293760505613115
"58","Acutalibacteraceae","UniRef50_W0U5L5",-0.159007900562701,0.00228938211474339,NA,NA,0.306579842848481
"59","Acutalibacteraceae","UniRef50_R6AHW3",0.281974389782063,0.002454697754803,NA,NA,0.323146397653473
"60","Acutalibacteraceae","UniRef50_R6GZP9",0.204765209717167,0.00265284469770144,NA,NA,0.334857093493134
"61","Acutalibacteraceae","UniRef50_A0A354MB10",0.288091617174258,0.00275921900135967,NA,NA,0.334857093493134
"62","Acutalibacteraceae","UniRef50_R9M3H3",0.223380999675398,0.00274425729332117,NA,NA,0.334857093493134
"63","Acutalibacteraceae","UniRef50_R5XW41",0.172241107745218,0.00259436426072934,NA,NA,0.334857093493134
"64","Acutalibacteraceae","UniRef50_A0A3D1LBR8",0.328207391270904,0.00274998435964835,NA,NA,0.334857093493134
"65","Acutalibacteraceae","UniRef50_A0A7V3NV80",-0.212862245805818,0.00291181694795739,NA,NA,0.337553466190822
"66","Acutalibacteraceae","UniRef50_A0A3D0X8F6",-0.242695408137743,0.00287066721689722,NA,NA,0.337553466190822
"67","Acutalibacteraceae","UniRef50_A0A413WGV3",0.273638838654222,0.0029083043861744,NA,NA,0.337553466190822
"68","Acutalibacteraceae","UniRef50_A0A357WR19",0.266881316287348,0.00300953723541242,NA,NA,0.343751113344827
"69","Acutalibacteraceae","UniRef50_A0A939UQ35",0.300903778690514,0.00316986708179945,NA,NA,0.346043422350322
"70","Acutalibacteraceae","UniRef50_A0A1Q9JQX7",0.289016830607128,0.00314478367288173,NA,NA,0.346043422350322
"71","Acutalibacteraceae","UniRef50_A0A354M7I7",-0.289676704909592,0.00329692458528696,NA,NA,0.346043422350322
"72","Acutalibacteraceae","UniRef50_A0A3D1HV99",0.254766800474076,0.0032196549147081,NA,NA,0.346043422350322
"73","Acutalibacteraceae","GUT_GENOME246062_00628",-0.301615481159551,0.00316908630048096,NA,NA,0.346043422350322
"74","Acutalibacteraceae","UniRef50_R9GY57",0.304502556311351,0.0032920793535931,NA,NA,0.346043422350322
"75","Acutalibacteraceae","UniRef50_A5ZUC0",0.274828897133318,0.00389300852822738,NA,NA,0.349758784960194
"76","Acutalibacteraceae","UniRef50_A0A3D5ETZ8",0.180408638553591,0.00395184612396782,NA,NA,0.349758784960194
"77","Acutalibacteraceae","UniRef50_A0A9D2P5V1",0.325411874701088,0.00400444591149429,NA,NA,0.349758784960194
"78","Acutalibacteraceae","UniRef50_R6FAQ6",0.154955106054779,0.00405137457451343,NA,NA,0.349758784960194
"79","Acutalibacteraceae","UniRef50_A0A964H0F8",0.262764316056446,0.00360463435722425,NA,NA,0.349758784960194
"80","Acutalibacteraceae","UniRef50_R5AV05",0.203067131274976,0.00382424537581771,NA,NA,0.349758784960194
"81","Acutalibacteraceae","UniRef50_UPI00214B73C1",-0.162198690839299,0.00401923952069261,NA,NA,0.349758784960194
"82","Acutalibacteraceae","UniRef50_A0A1V5EAL6",0.290787268800515,0.00369050504711277,NA,NA,0.349758784960194
"83","Acutalibacteraceae","UniRef50_R5B4L1",0.234822753766819,0.00409785624196957,NA,NA,0.349758784960194
"84","Acutalibacteraceae","UniRef50_F3AEH6",0.197292168721889,0.00376868389494334,NA,NA,0.349758784960194
"85","Acutalibacteraceae","UniRef50_A0A1Q6L653",0.17697836572064,0.00367838731974945,NA,NA,0.349758784960194
"86","Acutalibacteraceae","UniRef50_UPI00030D63A6",0.200605694977897,0.00402582832165344,NA,NA,0.349758784960194
"87","Acutalibacteraceae","UniRef50_A0A3D4I0Y4",0.277415273758441,0.00365078244389205,NA,NA,0.349758784960194
"88","Acutalibacteraceae","UniRef50_A0A349DAI0",0.187657922974949,0.00385086202310547,NA,NA,0.349758784960194
"89","Acutalibacteraceae","UniRef50_A0A3D2JFT5",0.258613496865379,0.00398734076610352,NA,NA,0.349758784960194
"90","Acutalibacteraceae","UniRef50_A0A316LCE6",0.293369993770579,0.00349787690344816,NA,NA,0.349758784960194
"91","Acutalibacteraceae","UniRef50_A0A645EVN5",0.236889287396383,0.0040577543826239,NA,NA,0.349758784960194
"92","Acutalibacteraceae","UniRef50_R6RH27",0.175034061891976,0.00414619922710724,NA,NA,0.350038363010238
"93","Acutalibacteraceae","UniRef50_UPI0022E6CF4E",0.304018179492946,0.00441838042430853,NA,NA,0.369006029630154
"94","Acutalibacteraceae","UniRef50_A0A3C0LX84",-0.267998406327879,0.00448991136493326,NA,NA,0.370990867781241
"95","Acutalibacteraceae","UniRef50_A0A3D1HY71",0.286074630252083,0.00454378389836152,NA,NA,0.371490205669199
"96","Acutalibacteraceae","UniRef50_A0A928KFT9",0.275115118811253,0.00461172008245447,NA,NA,0.373116977921082
"97","Acutalibacteraceae","UniRef50_A0A351H789",0.268671132368153,0.00480333513360498,NA,NA,0.374994815304582
"98","Acutalibacteraceae","UniRef50_A0A416EFP7",0.296209678115855,0.00484619631388306,NA,NA,0.374994815304582
"99","Acutalibacteraceae","UniRef50_UPI0023F7A7B1",0.25952641810941,0.00487633273410104,NA,NA,0.374994815304582
"100","Acutalibacteraceae","UniRef50_UPI001D02D866",0.220292910439309,0.0047081120516832,NA,NA,0.374994815304582
