"","taxon","gene","effect.size","p.value","std.err","df","q.value"
"1","Acutalibacteraceae","UniRef50_A0A351H5B3",0.338995785840383,0.00116092381336608,NA,NA,0.719874854798823
"2","Acutalibacteraceae","UniRef50_A0A1Q6RF92",0.210256176153551,0.000549585577610312,NA,NA,0.719874854798823
"3","Acutalibacteraceae","UniRef50_A0A3D0LZJ5",0.322019118379162,0.000546492990177949,NA,NA,0.719874854798823
"4","Acutalibacteraceae","UniRef50_A0A3D5ZKK6",0.417284972758563,0.000905443794306793,NA,NA,0.719874854798823
"5","Acutalibacteraceae","UniRef50_A0A1Q6UGF7",0.416164381596812,0.000911927450914174,NA,NA,0.719874854798823
"6","Acutalibacteraceae","UniRef50_A0A174N6Z3",0.309210273686133,0.000688735005687224,NA,NA,0.719874854798823
"7","Acutalibacteraceae","UniRef50_A0A3C0X140",0.372071033450135,0.00122457775598139,NA,NA,0.719874854798823
"8","Acutalibacteraceae","GUT_GENOME208951_00817",0.362561502589745,0.000888223746017491,NA,NA,0.719874854798823
"9","Acutalibacteraceae","UniRef50_A0A9D2DPU2",0.543828394101551,0.000178983061130067,NA,NA,0.719874854798823
"10","Acutalibacteraceae","UniRef50_A0A316RS50",0.292204660599025,0.000836799368540531,NA,NA,0.719874854798823
"11","Acutalibacteraceae","UniRef50_A0A285PXB6",0.266797956949504,0.00092933420844088,NA,NA,0.719874854798823
"12","Acutalibacteraceae","UniRef50_A0A357M3I8",0.349841367327834,0.000812217517462743,NA,NA,0.719874854798823
"13","Acutalibacteraceae","UniRef50_A0A3D5TNV8",0.306643632316936,0.00139025657550951,NA,NA,0.719874854798823
"14","Acutalibacteraceae","UniRef50_I0R3Y3",0.209764299581641,0.00130101238300284,NA,NA,0.719874854798823
"15","Acutalibacteraceae","UniRef50_A0A928KEE0",0.419384091720551,0.0011398314677511,NA,NA,0.719874854798823
"16","Acutalibacteraceae","UniRef50_R6GZP9",0.240409749728968,0.00219166250976399,NA,NA,0.769851110848349
"17","Acutalibacteraceae","UniRef50_R6A3G3",0.275588299763299,0.00776882703124993,NA,NA,0.769851110848349
"18","Acutalibacteraceae","UniRef50_A5ZUC0",0.250545831917217,0.00900249235496453,NA,NA,0.769851110848349
"19","Acutalibacteraceae","UniRef50_A0A928KMW4",0.256761204924192,0.00443935002743689,NA,NA,0.769851110848349
"20","Acutalibacteraceae","UniRef50_K1UQX6",0.301896628477003,0.00535394788536192,NA,NA,0.769851110848349
"21","Acutalibacteraceae","UniRef50_A0A498CYH7",0.23230157827356,0.0128332443126147,NA,NA,0.769851110848349
"22","Acutalibacteraceae","UniRef50_A0A316PLX1",0.446737095936694,0.00179390821440384,NA,NA,0.769851110848349
"23","Acutalibacteraceae","UniRef50_A0A939D8I7",-0.171476392018361,0.00342057048101507,NA,NA,0.769851110848349
"24","Acutalibacteraceae","UniRef50_A0A3D1HVG5",0.432587463527075,0.0103962205048045,NA,NA,0.769851110848349
"25","Acutalibacteraceae","UniRef50_A0A351KHT4",0.474695247593246,0.0042497851898351,NA,NA,0.769851110848349
"26","Acutalibacteraceae","UniRef50_A0A6N3GTQ1",0.159508837147042,0.0108087517393667,NA,NA,0.769851110848349
"27","Acutalibacteraceae","UniRef50_J9FBP7",-0.139866014217828,0.0127442667698696,NA,NA,0.769851110848349
"28","Acutalibacteraceae","UniRef50_K1RQ61",-0.224481243760998,0.0109449919272322,NA,NA,0.769851110848349
"29","Acutalibacteraceae","UniRef50_R6GYY1",-0.211446738125753,0.0119620256966924,NA,NA,0.769851110848349
"30","Acutalibacteraceae","UniRef50_A0A9D1R3E7",-0.26513932929894,0.0120582584200097,NA,NA,0.769851110848349
"31","Acutalibacteraceae","UniRef50_K1SI85",0.319415055237052,0.00706266420935697,NA,NA,0.769851110848349
"32","Acutalibacteraceae","UniRef50_A0A9D1QUZ0",0.374531133148097,0.012707850761742,NA,NA,0.769851110848349
"33","Acutalibacteraceae","UniRef50_T0CYJ3",0.327810340026683,0.0128515487227077,NA,NA,0.769851110848349
"34","Acutalibacteraceae","UniRef50_A0A6N3E4K8",0.123039054175404,0.00529097223961239,NA,NA,0.769851110848349
"35","Acutalibacteraceae","UniRef50_R6X881",-0.291998702318229,0.00607808373072594,NA,NA,0.769851110848349
"36","Acutalibacteraceae","UniRef50_A0A943P935",0.552530667772768,0.00719235982624777,NA,NA,0.769851110848349
"37","Acutalibacteraceae","UniRef50_A0A4V1S3S5",-0.185420201220111,0.0106854257310725,NA,NA,0.769851110848349
"38","Acutalibacteraceae","UniRef50_A0A1Q6RCP3",0.280157739204383,0.00541785571779374,NA,NA,0.769851110848349
"39","Acutalibacteraceae","UniRef50_A0A810Q7P4",0.225585181731399,0.00517197819838922,NA,NA,0.769851110848349
"40","Acutalibacteraceae","UniRef50_A0A357WV86",0.341282267534081,0.00896587047437114,NA,NA,0.769851110848349
"41","Acutalibacteraceae","UniRef50_R6TWW2",0.234173358461553,0.00659102393976507,NA,NA,0.769851110848349
"42","Acutalibacteraceae","UniRef50_A0A357WTB1",-0.295325607428074,0.00870554205021401,NA,NA,0.769851110848349
"43","Acutalibacteraceae","UniRef50_A0A9D5YDU4",0.284726807115651,0.00768075449531658,NA,NA,0.769851110848349
"44","Acutalibacteraceae","UniRef50_UPI001322814F",0.222559677930178,0.00869843078421373,NA,NA,0.769851110848349
"45","Acutalibacteraceae","UniRef50_A0A7X6XUA5",0.241590562268317,0.00763798718510911,NA,NA,0.769851110848349
"46","Acutalibacteraceae","GUT_GENOME214875_01327",-0.293024528504531,0.00724964460382616,NA,NA,0.769851110848349
"47","Acutalibacteraceae","UniRef50_R7BEH3",0.256095397518048,0.00621604751644944,NA,NA,0.769851110848349
"48","Acutalibacteraceae","UniRef50_A0A9D1QU41",0.306876226616235,0.0108683416449131,NA,NA,0.769851110848349
"49","Acutalibacteraceae","UniRef50_A0A3D0PWG4",0.248419208584519,0.00674437247449711,NA,NA,0.769851110848349
"50","Acutalibacteraceae","UniRef50_A0A316R9U5",0.233923159253395,0.00920814866583664,NA,NA,0.769851110848349
"51","Acutalibacteraceae","UniRef50_UPI000DA6021A",0.376657129648785,0.00402399900743489,NA,NA,0.769851110848349
"52","Acutalibacteraceae","UniRef50_A0A9D2IRR9",0.391871367053179,0.00984877572056941,NA,NA,0.769851110848349
"53","Acutalibacteraceae","UniRef50_A0A378MYD4",-0.299711975875107,0.00501793708094489,NA,NA,0.769851110848349
"54","Acutalibacteraceae","UniRef50_A0A3A9EJV2",0.350425826138153,0.00940566753907102,NA,NA,0.769851110848349
"55","Acutalibacteraceae","UniRef50_A0A3C0X2G5",0.347134444693135,0.0101642840486214,NA,NA,0.769851110848349
"56","Acutalibacteraceae","UniRef50_A0A859DQR7",0.144752819461953,0.0116942413597401,NA,NA,0.769851110848349
"57","Acutalibacteraceae","UniRef50_A0A1Y4TAH9",-0.243516147085545,0.0104100133233833,NA,NA,0.769851110848349
"58","Acutalibacteraceae","UniRef50_R6ZK28",0.283333576833601,0.0104169699990828,NA,NA,0.769851110848349
"59","Acutalibacteraceae","UniRef50_A0A3D1EF52",0.356630281686285,0.006821547556908,NA,NA,0.769851110848349
"60","Acutalibacteraceae","UniRef50_A0A357WWY7",0.310531196882856,0.011960791807617,NA,NA,0.769851110848349
"61","Acutalibacteraceae","UniRef50_UPI0023F02F53",-0.287659221369367,0.00866445463919763,NA,NA,0.769851110848349
"62","Acutalibacteraceae","UniRef50_A0A174KEH0",0.330320883921409,0.00428689327530773,NA,NA,0.769851110848349
