"","taxon","gene","effect.size","p.value","std.err","df","q.value"
"1","Acutalibacteraceae","UniRef50_K1V706",-0.145789334706731,5.03492803005656e-11,NA,NA,3.91062860094493e-07
"2","Acutalibacteraceae","UniRef50_A0A6N3D224",-0.139139330832845,3.2831826146662e-10,NA,NA,1.27502396840562e-06
"3","Acutalibacteraceae","UniRef50_A0A7V6R4Z0",-0.097918968097945,1.18117593483902e-08,NA,NA,3.05806449529822e-05
"4","Acutalibacteraceae","UniRef50_A0A5J4Q470",-0.082851569905767,9.91688762219667e-08,NA,NA,0.000192561165404004
"5","Acutalibacteraceae","UniRef50_R6AMI7",-0.0807633200290477,1.72282548227543e-07,NA,NA,0.000267623710416665
"6","Acutalibacteraceae","UniRef50_A0A412X0T6",-0.134846427534347,3.53047574064291e-07,NA,NA,0.000457020084626225
"7","Acutalibacteraceae","UniRef50_A0A355G3X5",-0.10054213190641,9.50333419291738e-07,NA,NA,0.0010544628096627
"8","Acutalibacteraceae","UniRef50_A0A2V2GM22",-0.126904640609098,1.21503725614147e-06,NA,NA,0.00117964929605635
"9","Acutalibacteraceae","UniRef50_A0A9E1AQF4",-0.137671166733727,1.52600458136476e-06,NA,NA,0.00131694195371779
"10","Acutalibacteraceae","UniRef50_R6VSL2",-0.15281666716517,2.74619984708124e-06,NA,NA,0.002132973421228
"11","Acutalibacteraceae","UniRef50_A0A1V5S227",-0.0707522463406985,3.35918676519498e-06,NA,NA,0.00237189123684267
"12","Acutalibacteraceae","UniRef50_A0A7J0AWX4",-0.071063647595126,4.51326467865165e-06,NA,NA,0.00292121056325728
"13","Acutalibacteraceae","UniRef50_A0A7X6Y3K8",-0.0534338251218919,1.62638550373906e-05,NA,NA,0.00971702785195482
"14","Acutalibacteraceae","UniRef50_A0A1I5F4Y9",-0.0616560950188616,2.82882309725618e-05,NA,NA,0.015141071810423
"15","Acutalibacteraceae","UniRef50_A0A9D8S6A0",-0.122588443577591,2.92411583824315e-05,NA,NA,0.015141071810423
