"","taxon","gene","effect.size","p.value","std.err","df","q.value"
"1","Acutalibacteraceae","UniRef50_K1SUM2",0.178315363661878,0.0431165123646511,NA,NA,0.840858250612411
"2","Acutalibacteraceae","UniRef50_UPI00117A5CDC",-0.297917715710235,0.180919075690942,NA,NA,0.840858250612411
"3","Acutalibacteraceae","UniRef50_UPI0023AF4CD3",-0.182939443388395,0.265445112960843,NA,NA,0.840858250612411
"4","Acutalibacteraceae","UniRef50_B7AMW0",0.121894703423626,0.327282290455552,NA,NA,0.840858250612411
"5","Acutalibacteraceae","UniRef50_UPI00242C0178",0.185034142860641,0.0705859410848184,NA,NA,0.840858250612411
"6","Acutalibacteraceae","UniRef50_A0A350TJ80",-0.16512044383929,0.0878545115275655,NA,NA,0.840858250612411
"7","Acutalibacteraceae","UniRef50_A0A239QTD4",0.188288417568445,0.293630637926305,NA,NA,0.840858250612411
"8","Acutalibacteraceae","UniRef50_A0A349PVS1",-0.277727824405824,0.0157721905774377,NA,NA,0.840858250612411
"9","Acutalibacteraceae","UniRef50_R6PPX5",-0.0652039843616891,0.264901561534062,NA,NA,0.840858250612411
"10","Acutalibacteraceae","UniRef50_B6G0C8",-0.168255824669545,0.260079820101863,NA,NA,0.840858250612411
"11","Acutalibacteraceae","UniRef50_R6GZP9",-0.18284051064173,0.207573879357422,NA,NA,0.840858250612411
"12","Acutalibacteraceae","UniRef50_A0A413Q9Z8",-0.130591062382869,0.248475972845348,NA,NA,0.840858250612411
"13","Acutalibacteraceae","UniRef50_A0A3B9WTV1",-0.038486949922022,0.134009401386604,NA,NA,0.840858250612411
"14","Acutalibacteraceae","UniRef50_A0A9D5PXJ0",0.337571070755217,0.0226954837819171,NA,NA,0.840858250612411
"15","Acutalibacteraceae","UniRef50_UPI0021D68F36",0.236858354352451,0.3270223639588,NA,NA,0.840858250612411
"16","Acutalibacteraceae","UniRef50_R6GS52",0.252365272900746,0.226132561984981,NA,NA,0.840858250612411
"17","Acutalibacteraceae","UniRef50_A0A060BRP9",0.135076835239368,0.213567284631232,NA,NA,0.840858250612411
"18","Acutalibacteraceae","UniRef50_A0A1V2M6C2",0.220922475235176,0.145893093461659,NA,NA,0.840858250612411
"19","Acutalibacteraceae","UniRef50_UPI001EEE84B8",-0.477323457682098,0.079541300420892,NA,NA,0.840858250612411
"20","Acutalibacteraceae","UniRef50_C0BEW3",-0.219763134428632,0.266081794604499,NA,NA,0.840858250612411
"21","Acutalibacteraceae","UniRef50_A0A2W4KB62",0.20455452843636,0.131943546802674,NA,NA,0.840858250612411
"22","Acutalibacteraceae","UniRef50_A0A7X7AQS2",0.217819829029393,0.10051626624044,NA,NA,0.840858250612411
"23","Acutalibacteraceae","UniRef50_A0A9D1K1U8",-0.114631381247447,0.222580159073789,NA,NA,0.840858250612411
"24","Acutalibacteraceae","UniRef50_A0A3P2A2G0",0.216640206144213,0.303699359658252,NA,NA,0.840858250612411
"25","Acutalibacteraceae","UniRef50_A0A1Q6LRR6",0.368578018664944,0.0410537641147164,NA,NA,0.840858250612411
"26","Acutalibacteraceae","UniRef50_A0A9D1QWF9",-0.18982700157247,0.149742841096289,NA,NA,0.840858250612411
"27","Acutalibacteraceae","GUT_GENOME158850_00792",-0.250749975321307,0.21462464724059,NA,NA,0.840858250612411
"28","Acutalibacteraceae","UniRef50_R5LHS6",-0.333965557943565,0.0923628466879194,NA,NA,0.840858250612411
