run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR321069	PRJEB4336	SAMEA2149557	ERX294202	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321069/ERR321069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321069/ERR321069_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321069/MetaHIT-MH0003_090107.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321069/MetaHIT-MH0003_090107.rmHuman.rmHost.2.fq.gz	
ERR321080	PRJEB4336	SAMEA2148472	ERX294213	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321080/ERR321080_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321080/ERR321080_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321080/MetaHIT-MH0007_081109.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321080/MetaHIT-MH0007_081109.rmHuman.rmHost.2.fq.gz	
ERR321083	PRJEB4336	SAMEA1970582	ERX294216	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321083/ERR321083_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321083/ERR321083_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321083/MetaHIT-MH0008_081123.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321083/MetaHIT-MH0008_081123.rmHuman.rmHost.2.fq.gz	
ERR321084	PRJEB4336	SAMEA2144299	ERX294217	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321084/ERR321084_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321084/ERR321084_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321084/MetaHIT-MH0009_081203.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321084/MetaHIT-MH0009_081203.rmHuman.rmHost.2.fq.gz	
ERR321091	PRJEB4336	SAMEA2159553	ERX294224	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321091/ERR321091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321091/ERR321091_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321091/MetaHIT-MH0011_090120.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321091/MetaHIT-MH0011_090120.rmHuman.rmHost.2.fq.gz	
ERR321108	PRJEB4336	SAMEA2149603	ERX294241	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321108/ERR321108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321108/ERR321108_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321108/MetaHIT-MH0016_090120.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321108/MetaHIT-MH0016_090120.rmHuman.rmHost.2.fq.gz	
ERR321111	PRJEB4336	SAMEA2161087	ERX294244	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321111/ERR321111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321111/ERR321111_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321111/MetaHIT-MH0018_081108.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321111/MetaHIT-MH0018_081108.rmHuman.rmHost.2.fq.gz	
ERR321123	PRJEB4336	SAMEA2162297	ERX294256	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321123/ERR321123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321123/ERR321123_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321123/MetaHIT-MH0024_081224.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321123/MetaHIT-MH0024_081224.rmHuman.rmHost.2.fq.gz	
ERR321126	PRJEB4336	SAMEA2148374	ERX294259	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321126/ERR321126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321126/ERR321126_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321126/MetaHIT-MH0025_090121.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321126/MetaHIT-MH0025_090121.rmHuman.rmHost.2.fq.gz	
ERR321128	PRJEB4336	SAMEA2161309	ERX294261	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321128/ERR321128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321128/ERR321128_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321128/MetaHIT-MH0026_090117.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321128/MetaHIT-MH0026_090117.rmHuman.rmHost.2.fq.gz	
