taxon	stderr	estimate
1XD42-69 sp014287635	0.092556718501336	-0.140524550610974
43-108 sp001915545	0.156248567323498	-0.126196842312998
51-20 sp900542055	0.0706866620404648	-0.0957462408949058
AF33-28 sp003477885	0.0737368390504236	-0.098989600623877
AM07-15 sp003477405	0.0996790984851384	-0.192696917622196
AM51-8 sp003478275	0.0498394780898535	-0.0517894722045715
AM51-8 sp900546435	0.174689339105272	-0.0206869291457434
AM51-8 sp900761925	0.116073213342523	0.0487147134468298
Absicoccus sp000434355	0.102855931108255	0.176193060250005
Acetatifactor sp003447295	0.115728390477766	-0.18682749333756
Acetatifactor sp900066365	0.0821320992400753	-0.0264056710770104
Acetatifactor sp900066565	0.122806610972215	-0.15078683175383
Acetatifactor sp900554205	0.0319341762435223	-0.0239109290677722
Acetatifactor sp900755865	0.0857493227154751	-0.104528523884456
Acetatifactor sp900760705	0.113575717679495	-0.0433232006704285
Acetatifactor sp900766575	0.0564754470028286	-0.0279975019043218
Acetatifactor sp900771995	0.12306498260809	-0.123276274298922
Acetatifactor sp900772845	0.0733675134090978	-0.0768110756052816
Acetivibrio_A ethanolgignens	0.0893341772167105	-0.0863294814389996
Acidaminococcus fermentans	0.19752477050801	0.309068715945633
Acidaminococcus fermentans_A	0.113843554565355	0.176630405820788
Acidaminococcus intestini	0.247208490472845	0.593535550345209
Acidaminococcus massiliensis	0.257981381154526	0.468893581082536
Acidaminococcus provencensis	0.136143814843939	0.0895737895984752
Acidaminococcus sp000437815	0.333531535742695	0.122558826961051
Acidaminococcus sp900538365	0.237661728821878	-0.0126802604958066
Acidaminococcus sp900770265	0.220454360031439	0.0536179641556571
Acidaminococcus timonensis	0.153231401004166	0.297139309701033
Actinomyces graevenitzii	0.0843651872098724	-0.102154694939072
Actinomyces oris	0.112584897415271	0.114613070703783
Acutalibacter sp000432995	0.0525826365024877	0.0391339905710835
Acutalibacter sp000435395	0.280893379660833	0.400457610202114
Acutalibacter sp900543305	0.207608998301312	0.23206482297306
Acutalibacter sp900543555	0.378381546836043	0.464792872539243
Acutalibacter sp900548545	0.0456659207488669	0.0631419636767196
Acutalibacter sp900755895	0.0681693804039685	-0.0639451018308758
Acutalibacter sp900759575	0.349424515061121	0.34501636359349
Acutalibacter timonensis	0.30689227352266	0.270855977570185
Adlercreutzia celatus_A	0.17910399533962	0.0485527992887257
Agathobacter faecis	0.350732211715137	-0.0679357551201068
Agathobacter rectalis	0.174964848869895	0.129110811302359
Agathobacter sp000434275	0.191255493886628	-0.125369296730501
Agathobacter sp900543445	0.229608688624942	-0.0769180191791696
Agathobacter sp900546625	0.165641011860219	0.140981264890979
Agathobacter sp900547695	0.0877012514751528	0.000809610979080565
Agathobacter sp900548765	0.158368437164092	-0.0437095769259253
Agathobacter sp900549895	0.245524906701266	-0.122606232164826
Agathobacter sp900550545	0.201912050229375	-0.0957285641360304
Agathobacter sp900552085	0.218662011642627	-0.0576105562387886
Agathobaculum butyriciproducens	0.202468294833309	-0.197579377481334
Agathobaculum desmolans	0.121051297379428	0.0225804558625807
Agathobaculum sp003481705	0.159884428942694	-0.212487623082643
Agathobaculum sp900291975	0.0558069721129083	0.0823322523732889
Agathobaculum sp900544475	0.0537189445898886	-0.0406232676850237
Agathobaculum sp900555465	0.212481359374065	-0.0794456243133286
Agathobaculum sp900557315	0.0278858530191944	-0.0060162135723382
Aggregatibacter segnis	0.25801807712936	0.433835890774033
Akkermansia muciniphila	0.267637493860311	0.264144616383292
Akkermansia muciniphila_A	0.451736422514972	0.372533336430236
Akkermansia muciniphila_B	0.187634526360296	-0.198589334339349
Akkermansia muciniphila_C	0.406499221923642	-0.119160344819186
Akkermansia sp001580195	0.340850840848782	0.287601082091349
Akkermansia sp004167605	0.303051735413461	0.278072722732928
Akkermansia sp900545155	0.265910048859274	0.380107543429128
Alistipes communis	0.490701122987219	0.413776192186727
Alistipes dispar	0.458150387524488	0.365027306495358
Alistipes finegoldii	0.0693248221933191	-0.0586960351718658
Alistipes onderdonkii	0.0976949185957853	-0.0750498689972753
Alistipes provencensis	0.123200740625508	-0.0844997226171066
Alistipes putredinis	0.157003654794261	-0.121334411673704
Alistipes senegalensis	0.322179847829995	0.134705989885397
Alistipes shahii	0.325738393755287	0.0905449093891317
Alistipes sp000434235	0.229527139058128	0.0840569641462135
Alistipes sp001941065	0.314799994912536	0.146178357423723
Alistipes sp002161445	0.172066248768082	-0.000644503404715588
Alistipes sp002358415	0.319050266278836	0.164113026902391
Alistipes sp900021155	0.301652300375442	0.23746944699619
Alistipes sp900290115	0.438309114099121	0.252854108306663
Alistipes sp900541585	0.353349244249062	0.164830287966658
Alistipes sp900542505	0.341114780217287	0.0227425361184852
Alistipes sp900544265	0.477093411847593	0.0802694039729147
Alistipes sp900546065	0.300405323032977	0.0593942352653614
Alistipes sp900548155	0.323004262703784	-0.308575541220772
Alistipes sp900549305	0.339117761943778	0.0521565751111103
Alistipes sp900550375	0.273220902165033	0.21511443098038
Alistipes sp900550925	0.234797585727313	-0.00548007862951536
Alistipes sp900552955	0.0472311037345127	0.0304920486360141
Alistipes sp900553175	0.0419654832971924	-0.0483473047790921
Alistipes sp900760675	0.177489176086082	-0.115213828954179
Alistipes sp900761235	0.0725812808893733	0.0532532551263113
Alistipes sp900768015	0.117635444266008	0.0740210061686945
Alistipes sp900768045	0.0630361061416766	0.0717197240359765
Alistipes sp900769405	0.18442261478183	-0.128274839017957
Alistipes sp900769445	0.0454363804160667	0.0271447391968295
Alistipes sp900769745	0.170473280720865	-0.162324490014613
Alistipes sp900770585	0.193467745516057	-0.391770223241117
Alistipes sp900770635	0.144410028731019	-0.0773683816973853
Alistipes sp902363575	0.168690819484555	0.0324813416358659
Alistipes sp902388705	0.0688458747394164	-0.0218444503709641
Alistipes timonensis	0.299450940595503	0.0921878318156659
Alistipes_A ihumii	0.462051956251361	0.212214565548015
Alistipes_A indistinctus	0.341128219723473	0.084335535246186
Alistipes_A sp900240235	0.0699133596116346	-0.0764157740554251
Alistipes_A sp900539755	0.0655259916772585	-0.0162672649066269
Alistipes_A sp900545315	0.222111106662799	0.130211038271404
Alistipes_A sp900546005	0.118303669697062	0.0222684366351046
Alistipes_A sp900549685	0.061748893043932	-0.0558128649333635
Allisonella histaminiformans	0.234380132356403	0.0872114304890519
Alloprevotella tannerae	0.119871901867008	-0.0812223583774166
Alloscardovia omnicolens	0.206176899810294	-0.0575464410290413
Alterileibacterium massiliense	0.168863668780355	-0.152908976702712
Amedibacillus dolichus	0.185300802751036	-0.170988671187531
Amedibacterium intestinale	0.0566661781661796	-0.101114691421476
