sample_id	URL
ERR4563323	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4563323&result=read_run&fields=fastq_ftp
ERR4563324	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4563324&result=read_run&fields=fastq_ftp
ERR4563325	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4563325&result=read_run&fields=fastq_ftp
ERR4563326	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4563326&result=read_run&fields=fastq_ftp
ERR4563327	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4563327&result=read_run&fields=fastq_ftp
ERR4563328	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4563328&result=read_run&fields=fastq_ftp
ERR4563334	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4563334&result=read_run&fields=fastq_ftp
ERR4563374	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4563374&result=read_run&fields=fastq_ftp
ERR4563375	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4563375&result=read_run&fields=fastq_ftp
ERR4563376	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4563376&result=read_run&fields=fastq_ftp
ERR4563377	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4563377&result=read_run&fields=fastq_ftp
ERR4563378	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4563378&result=read_run&fields=fastq_ftp
ERR4563379	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4563379&result=read_run&fields=fastq_ftp
ERR4563380	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4563380&result=read_run&fields=fastq_ftp
ERR4563381	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4563381&result=read_run&fields=fastq_ftp
ERR4560847	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4560847&result=read_run&fields=fastq_ftp
ERR4560848	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4560848&result=read_run&fields=fastq_ftp
ERR4560849	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4560849&result=read_run&fields=fastq_ftp
ERR4560850	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4560850&result=read_run&fields=fastq_ftp
ERR4560851	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERR4560851&result=read_run&fields=fastq_ftp
